title,genres,budget,language,duration,year,vote_count,score
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Tropic Thunder,1,92000000,## INCONSISTENCY ## ,107,2008,1667,6.5
Unforgiven,0,14000000,## INCONSISTENCY ## ,131,1992,1113,7.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Kick-Ass 2,1,28000000,English,103,2013,202967,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
22 Jump Street,1,50000000,## INCONSISTENCY ## ,112,2014,3319,7.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
I Can Do Bad All By Myself,1,0,## INCONSISTENCY ## ,113,2009,40,6.0
Frat Party,1,1000000,English,90,2009,1612,2.8
Far from Heaven,0,13500000,## INCONSISTENCY ## ,107,2002,144,6.9
Munich,0,70000000,## INCONSISTENCY ## ,164,2005,696,6.9
Beyond the Sea,0,23000000,## INCONSISTENCY ## ,118,2004,55,6.5
Welcome to Mooseport,1,30000000,## INCONSISTENCY ## ,110,2004,54,4.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Multiplicity,1,45000000,## INCONSISTENCY ## ,117,1996,154,5.5
Hanna,0,30000000,## INCONSISTENCY ## ,111,2011,1263,6.5
Under the Tuscan Sun,1,0,## INCONSISTENCY ## ,113,2003,172,6.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Last House on the Left,0,15000000,## INCONSISTENCY ## ,110,2009,440,6.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Alien³,0,50000000,## INCONSISTENCY ## ,114,1992,1633,6.2
Runner Runner,0,30000000,English,88,2013,52069,5.6
It Follows,0,2000000,English,100,2014,112899,6.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Serenity,0,39000000,## INCONSISTENCY ## ,119,2005,1264,7.4
Undiscovered,1,9000000,English,97,2005,2599,4.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Rabbit Hole,0,5000000,English,91,2010,40618,7.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Death and Life of Bobby Z,0,22000000,English,97,2007,12078,5.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Zack and Miri Make a Porno,1,24000000,English,101,2008,149835,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Godsend,0,25000000,## INCONSISTENCY ## ,102,2004,114,4.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Alvin and the Chipmunks: The Road Chip,1,0,## INCONSISTENCY ## ,92,2015,428,5.8
Blades of Glory,1,61000000,English,93,2007,129995,6.3
American Gangster,0,100000000,## INCONSISTENCY ## ,157,2007,1502,7.4
Frankenweenie,1,39000000,## INCONSISTENCY ## ,87,2012,932,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
A Perfect Getaway,0,14000000,English,108,2009,56338,6.5
High Anxiety,1,3400000,## INCONSISTENCY ## ,94,1977,84,6.5
The Cooler,0,3200000,English,101,2003,28714,7.0
"Surfer, Dude",1,6000000,## INCONSISTENCY ## ,85,2008,25,4.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Highway,0,14000000,## INCONSISTENCY ## ,97,2002,37,5.6
The I Inside,0,8800000,English,90,2004,9296,6.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Final Destination,0,23000000,English,98,2000,181058,6.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Red Dog,1,0,## INCONSISTENCY ## ,92,2011,83,7.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Exorcist: The Beginning,0,50000000,English,125,2004,28635,5.1
You Don't Mess with the Zohan,1,90000000,English,113,2008,156348,5.5
Head Over Heels,1,14000000,English,86,2001,11693,5.4
Force 10 from Navarone,0,5000000,## INCONSISTENCY ## ,118,1978,91,6.4
Predators,0,40000000,## INCONSISTENCY ## ,107,2010,1206,6.0
Oscar and Lucinda,0,0,## INCONSISTENCY ## ,132,1997,25,6.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Split Second,0,7000000,English,96,1992,8391,6.2
Analyze This,1,80000000,## INCONSISTENCY ## ,103,1999,503,6.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## INCONSISTENCY ## ,0,62000000,## INCONSISTENCY ## ,93,2005,703,5.4
Zero Dark Thirty,0,40000000,English,157,2012,216032,7.4
The Visitors,1,0,## INCONSISTENCY ## ,107,1993,420,7.1
Gothika,0,40000000,## INCONSISTENCY ## ,98,2003,629,5.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Nim's Island,1,37000000,English,96,2008,28109,6.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Postman,0,80000000,English,177,1997,56403,6.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Incident at Loch Ness,1,1,## INCONSISTENCY ## ,94,2004,18,5.9
The Medallion,1,41000000,## INCONSISTENCY ## ,88,2003,281,5.3
Win a Date with Tad Hamilton!,1,17000000,## INCONSISTENCY ## ,95,2004,160,5.5
A Cinderella Story,1,19000000,## INCONSISTENCY ## ,95,2004,713,6.1
Clockwatchers,1,0,## INCONSISTENCY ## ,96,1997,13,5.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Jackal,0,60000000,## INCONSISTENCY ## ,124,1997,527,6.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Travellers and Magicians,0,0,## INCONSISTENCY ## ,108,2003,9,6.8
Barney's Great Adventure,0,15000000,English,76,1998,2724,2.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Gentlemen Broncos,1,10000000,## INCONSISTENCY ## ,89,2009,51,6.2
Malone,0,0,## INCONSISTENCY ## ,92,1987,15,6.8
Date Night,1,55000000,English,101,2010,127571,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Mulan,0,90000000,English,88,1998,171792,7.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Veronica Guerin,0,17000000,English,98,2003,16234,6.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
National Treasure,1,100000000,English,131,2004,255447,6.9
Monte Carlo,1,20000000,English,109,2011,32951,5.8
Elza,0,0,## INCONSISTENCY ## ,78,2011,0,0.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Little Boy,0,20000000,English,106,2015,15978,7.4
Armored,0,20000000,## INCONSISTENCY ## ,88,2009,208,5.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Top Hat,1,609000,## INCONSISTENCY ## ,101,1935,59,7.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Hidden Away,0,0,## INCONSISTENCY ## ,96,2014,26,7.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Majestic,0,72000000,English,152,2001,45031,6.9
The Lion of Judah,1,15000000,## INCONSISTENCY ## ,87,2011,2,5.8
The Bad News Bears,1,35000000,## INCONSISTENCY ## ,102,1976,97,6.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Pontypool,0,1500000,## INCONSISTENCY ## ,93,2009,183,6.6
What Lies Beneath,0,100000000,English,130,2000,98403,6.6
Confessions of a Teenage Drama Queen,1,15000000,English,89,2004,23408,4.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
A Dog of Flanders,0,7000000,English,100,1999,781,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Casino Jack,1,12500000,## INCONSISTENCY ## ,108,2010,94,6.0
A Nightmare on Elm Street 2: Freddy's Revenge,0,2200000,English,87,1985,43485,5.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
In the Name of the King: The Last Job,0,3500000,English,86,2014,1285,3.3
Brooklyn Rules,0,8000000,## INCONSISTENCY ## ,99,2007,18,5.8
Shame,0,6500000,## INCONSISTENCY ## ,100,2011,875,7.0
Timecrimes,0,2600000,## INCONSISTENCY ## ,92,2007,308,7.0
Shine,0,5500000,English,105,1996,43013,7.7
Paint Your Wagon,1,20000000,English,158,1969,9352,6.7
Paranormal Activity 4,0,5000000,## INCONSISTENCY ## ,95,2012,563,5.2
Yogi Bear,1,80000000,English,80,2010,16385,4.6
Chuck & Buck,1,250000,English,96,2000,4662,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Joe Dirt,1,17700000,English,91,2001,41664,5.9
The Abyss,0,70000000,## INCONSISTENCY ## ,139,1989,808,7.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Boat Trip,1,20000000,English,97,2002,26598,4.9
Bleeding Hearts,0,0,## INCONSISTENCY ## ,0,2013,1,2.0
Now You See Me 2,1,90000000,## INCONSISTENCY ## ,129,2016,3235,6.7
The Cat in the Hat,1,109000000,English,82,2003,36033,3.8
Alone With Her,0,1000000,## INCONSISTENCY ## ,78,2006,20,6.2
Precious,0,10000000,English,109,2009,86955,7.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Three Kings,1,48000000,English,114,1999,137854,7.1
Pan's Labyrinth,0,19000000,## INCONSISTENCY ## ,118,2006,3041,7.6
Slackers,1,14000000,## INCONSISTENCY ## ,86,2002,60,5.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Get Shorty,1,30250000,## INCONSISTENCY ## ,105,1995,302,6.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Black Christmas,0,9000000,## INCONSISTENCY ## ,84,2006,119,4.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Western Religion,0,0,## INCONSISTENCY ## ,106,2015,0,0.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Falcon Rising,0,0,## INCONSISTENCY ## ,103,2014,71,5.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Jeepers Creepers 2,0,17000000,## INCONSISTENCY ## ,104,2003,299,5.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Pursuit of D.B. Cooper,0,12000000,English,100,1981,763,5.7
Far from Men,0,7700000,## INCONSISTENCY ## ,110,2014,43,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Dream House,0,55000000,English,84,2011,46239,6.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Banger Sisters,1,10000000,English,98,2002,12388,5.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Max Keeble's Big Move,1,12000000,English,91,2001,5794,5.3
Liar Liar,1,45000000,English,86,1997,220392,6.8
Call + Response,0,0,## INCONSISTENCY ## ,86,2008,1,8.0
Janky Promoters,1,10000000,## INCONSISTENCY ## ,85,2009,5,7.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Hunt,0,3800000,Danish,115,2012,170155,8.3
The Deported,1,3000000,English,90,2009,62,6.2
American Wedding,1,55000000,## INCONSISTENCY ## ,103,2003,1129,6.0
What the #$*! Do We (K)now!?,0,0,## INCONSISTENCY ## ,109,2004,34,5.8
Glengarry Glen Ross,0,12500000,## INCONSISTENCY ## ,100,1992,323,7.5
Need for Speed,0,66000000,## INCONSISTENCY ## ,130,2014,1520,6.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Cellular,0,25000000,## INCONSISTENCY ## ,94,2004,537,6.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Adventures of Sharkboy and Lavagirl,0,50000000,## INCONSISTENCY ## ,92,2005,269,4.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Meek's Cutoff,0,0,## INCONSISTENCY ## ,104,2010,77,6.5
In Dreams,0,0,## INCONSISTENCY ## ,100,1999,44,5.4
